transaction_id,user_id,timestamp,amount,ip_address,device_id,shipping_country,billing_country,is_fraud
TXN_100000,USER_1327,2026-01-01 00:00:00,72.65,129.153.198.180,DEV_5007,SZ,SZ,0
TXN_100001,USER_1071,2026-01-01 00:02:00,61.46,124.228.145.91,DEV_5047,CU,CU,0
TXN_100002,USER_1044,2026-01-01 00:14:00,6.61,178.200.51.240,DEV_5037,UA,UA,0
TXN_100003,USER_1119,2026-01-01 00:30:00,6.34,33.232.50.155,DEV_5032,BW,BW,0
TXN_100004,USER_1332,2026-01-01 00:36:00,32.19,112.108.176.251,DEV_5044,TJ,TJ,0
TXN_100005,USER_1142,2026-01-01 01:05:00,86.95,103.173.150.154,DEV_5000,GN,GN,0
TXN_100006,USER_1174,2026-01-01 00:18:00,17.12,24.230.240.50,DEV_5017,AF,AF,0
TXN_100007,USER_1052,2026-01-01 00:49:00,10.09,181.27.237.216,DEV_5005,MC,MC,0
TXN_100008,USER_1309,2026-01-01 01:44:00,7.22,49.200.164.226,DEV_5016,DE,DE,0
TXN_100009,USER_1063,2026-01-01 00:18:00,45.15,100.43.21.135,DEV_5024,CA,CA,0
TXN_100010,USER_1316,2026-01-01 01:40:00,15.68,70.48.153.229,DEV_5023,MK,MK,0
TXN_100011,USER_1338,2026-01-01 02:23:00,22.08,168.135.111.71,DEV_5014,BD,BD,0
TXN_100012,USER_1119,2026-01-01 01:24:00,21.28,179.254.147.111,DEV_5006,MT,MT,0
TXN_100013,USER_1186,2026-01-01 01:18:00,26.95,82.195.110.208,DEV_5010,YE,YE,0
TXN_100014,USER_1359,2026-01-01 02:34:00,8.7,151.37.7.60,DEV_5043,TR,TR,0
TXN_100015,USER_1273,2026-01-01 01:00:00,13.92,96.142.114.238,DEV_5046,BD,BD,0
TXN_100016,USER_1473,2026-01-01 03:12:00,45.7,146.133.85.19,DEV_5040,BR,BR,0
TXN_100017,USER_1431,2026-01-01 03:41:00,7.88,169.227.59.103,DEV_5049,MU,MU,0
TXN_100018,USER_1412,2026-01-01 02:06:00,20.58,125.117.150.145,DEV_5020,DK,DK,0
TXN_100019,USER_1482,2026-01-01 04:45:00,68.28,45.104.144.43,DEV_5036,SV,SV,0
TXN_100020,USER_1255,2026-01-01 05:00:00,127.99,120.146.59.122,DEV_5025,UZ,UZ,0
TXN_100021,USER_1135,2026-01-01 01:24:00,73.32,143.170.251.114,DEV_5008,DK,DK,0
TXN_100022,USER_1382,2026-01-01 02:34:00,119.05,24.163.105.158,DEV_5037,DZ,DZ,0
TXN_100023,USER_1112,2026-01-01 03:27:00,39.01,142.14.44.201,DEV_5008,LA,LA,0
TXN_100024,USER_1440,2026-01-01 01:12:00,54.37,35.148.124.195,DEV_5007,GT,GT,0
TXN_100025,USER_1216,2026-01-01 00:50:00,29.29,174.134.12.63,DEV_5038,MZ,MZ,0
TXN_100026,USER_1239,2026-01-01 02:10:00,182.16,121.176.23.197,DEV_5033,TN,TN,0
TXN_100027,USER_1005,2026-01-01 05:24:00,11.08,218.17.215.90,DEV_5043,GH,GH,0
TXN_100028,USER_1384,2026-01-01 06:04:00,56.22,153.82.8.116,DEV_5017,BA,BA,0
TXN_100029,USER_1222,2026-01-01 03:52:00,5.16,24.121.229.251,DEV_5010,CU,CU,0
TXN_100030,USER_1368,2026-01-01 04:30:00,76.77,116.52.48.139,DEV_5016,AE,AE,0
TXN_100031,USER_1054,2026-01-01 02:35:00,97.15,153.143.199.37,DEV_5040,ML,ML,0
TXN_100032,USER_1101,2026-01-01 03:12:00,76.88,114.54.155.88,DEV_5009,SE,SE,0
TXN_100033,USER_1398,2026-01-01 08:15:00,5.03,17.129.250.50,DEV_5033,CG,CG,0
TXN_100034,USER_1009,2026-01-01 08:30:00,27.55,106.143.73.72,DEV_5007,KZ,KZ,0
TXN_100035,USER_1413,2026-01-01 02:20:00,7.98,36.16.214.132,DEV_5019,MV,MV,0
TXN_100036,USER_1484,2026-01-01 01:12:00,70.82,61.244.135.128,DEV_5005,SM,SM,0
TXN_100037,USER_1389,2026-01-01 08:01:00,11.72,112.47.6.185,DEV_5034,KZ,KZ,0
TXN_100038,USER_1484,2026-01-01 01:54:00,20.4,184.137.212.249,DEV_5035,BA,BA,0
TXN_100039,USER_1216,2026-01-01 09:45:00,43.75,50.200.180.194,DEV_5013,NZ,NZ,0
TXN_100040,USER_1102,2026-01-01 03:20:00,30.46,104.13.74.245,DEV_5045,WS,WS,0
TXN_100041,USER_1191,2026-01-01 10:15:00,41.45,216.109.174.220,DEV_5028,SC,SC,0
TXN_100042,USER_1115,2026-01-01 04:12:00,6.06,179.103.183.171,DEV_5004,YE,YE,0
TXN_100043,USER_1301,2026-01-01 00:43:00,8.68,44.186.245.162,DEV_5014,DE,DE,0
TXN_100044,USER_1117,2026-01-01 11:00:00,6.6,42.86.209.197,DEV_5004,SR,SR,0
TXN_100045,USER_1263,2026-01-01 03:45:00,60.28,200.0.149.235,DEV_5015,US,US,0
TXN_100046,USER_1067,2026-01-01 11:30:00,112.02,33.63.27.96,DEV_5046,CG,CG,0
TXN_100047,USER_1124,2026-01-01 10:11:00,31.13,206.117.201.247,DEV_5030,GY,GY,0
TXN_100048,USER_1337,2026-01-01 04:48:00,32.55,69.10.91.1,DEV_5027,BS,BS,0
TXN_100049,USER_1373,2026-01-01 08:59:00,57.99,178.54.253.41,DEV_5003,PS,PS,0
TXN_100050,USER_1031,2026-01-01 10:00:00,25.72,10.3.29.117,DEV_5025,CN,CN,0
TXN_100051,USER_1127,2026-01-01 03:24:00,43.42,138.145.112.170,DEV_5012,IN,IN,0
TXN_100052,USER_1093,2026-01-01 06:56:00,19.37,14.197.44.73,DEV_5017,GH,GH,0
TXN_100053,USER_1226,2026-01-01 01:46:00,7.6,205.155.245.22,DEV_5035,LC,LC,0
TXN_100054,USER_1428,2026-01-01 01:48:00,135.43,55.230.31.28,DEV_5000,OM,OM,0
TXN_100055,USER_1085,2026-01-01 07:20:00,37.83,222.114.147.17,DEV_5026,CL,CL,0
TXN_100056,USER_1462,2026-01-01 02:48:00,28.82,113.6.64.5,DEV_5003,LU,LU,0
TXN_100057,USER_1135,2026-01-01 04:45:00,32.5,78.186.51.36,DEV_5029,TZ,TZ,0
TXN_100058,USER_1401,2026-01-01 10:38:00,68.36,113.34.201.165,DEV_5035,KN,KN,0
TXN_100059,USER_1151,2026-01-01 00:59:00,48.28,142.166.251.117,DEV_5013,BJ,BJ,0
TXN_100060,USER_1382,2026-01-01 01:00:00,7.57,218.146.222.199,DEV_5020,BN,BN,0
TXN_100061,USER_1470,2026-01-01 03:03:00,7.93,12.116.164.147,DEV_5033,SV,SV,0
TXN_100062,USER_1435,2026-01-01 02:04:00,50.2,20.59.230.13,DEV_5011,RS,RS,0
TXN_100063,USER_1120,2026-01-01 02:06:00,147.02,207.200.7.191,DEV_5025,HN,HN,0
TXN_100064,USER_1296,2026-01-01 01:04:00,53.3,166.131.81.79,DEV_5038,ET,ET,0
TXN_100065,USER_1298,2026-01-01 09:45:00,24.02,91.150.87.180,DEV_5036,MH,MH,0
TXN_100066,USER_1342,2026-01-01 06:36:00,18.64,61.227.187.108,DEV_5045,ZA,ZA,0
TXN_100067,USER_1343,2026-01-01 05:35:00,35.55,70.76.122.123,DEV_5041,BH,BH,0
TXN_100068,USER_1479,2026-01-01 01:08:00,35.65,53.183.34.65,DEV_5004,CD,CD,0
TXN_100069,USER_1051,2026-01-01 10:21:00,16.99,115.11.24.126,DEV_5004,SO,SO,0
TXN_100070,USER_1477,2026-01-01 17:30:00,8.56,29.128.13.236,DEV_5022,EG,EG,0
TXN_100071,USER_1145,2026-01-01 09:28:00,94.71,126.127.230.161,DEV_5010,BO,BO,0
TXN_100072,USER_1313,2026-01-01 10:48:00,5.39,19.34.17.124,DEV_5041,BE,BE,0
TXN_100073,USER_1153,2026-01-01 02:26:00,144.79,128.241.202.234,DEV_5042,BW,BW,0
TXN_100074,USER_1059,2026-01-01 14:48:00,45.28,215.144.107.184,DEV_5006,DM,DM,0
TXN_100075,USER_1309,2026-01-01 15:00:00,25.99,62.206.147.143,DEV_5013,GH,GH,0
TXN_100076,USER_1436,2026-01-01 11:24:00,38.52,209.224.87.90,DEV_5016,DM,DM,0
TXN_100077,USER_1433,2026-01-01 02:34:00,55.29,56.252.171.137,DEV_5003,IN,IN,0
